V1,V2,V3,V4,V5,V6,V7,V8
70.4008119532225,14.808467241705,164.669882917074,105.489765312553,12.34,2.88,24.77,62.8
15.0089940737436,6.28156956408836,120.078703288728,35.563863372739,2.91,1.24,19.37,36.27
18.1422688909769,0.224011778155724,111.159375141014,34.1350528225896,3.5,0.04,18.19,35.32
4.82806742097237,7.550302542198,91.1978717493845,43.7876634949698,0.96,1.49,15.43,41.2
50.1698167155052,4.12315986870764,56.0936480624708,85.6501888818191,9.12,0.82,10.09,57.81
4.63095943118813,0.529065518580069,180.838119527637,66.2262333411976,0.92,0.11,26.56,51.45
0.742065584981941,4.82806742097237,31.363189149656,13.6484938709235,0.15,0.96,5.9,17.92
8.80746839351195,3.12711273703141,15.9540143416573,14.1117021880908,1.73,0.62,3.09,18.42
17.475723001827,5.80287410687141,65.6337811769871,48.3955411122735,3.38,1.15,11.6,43.64
2.29250452609228,19.6174749282087,72.5003775626126,35.4645317936148,0.46,3.78,12.66,36.2
9.54953570608324,2.13468542173036,72.5003775626126,47.7558690157704,1.87,0.43,12.66,43.31
0.817200320311649,19.6174749282087,72.5003775626126,35.4645317936148,0.16,3.78,12.66,36.2
0.00151029533284612,19.6174749282087,72.5003775626126,28.6176035546422,0,3.78,12.66,31.41
0.968718457364779,19.6174749282087,72.5003775626126,28.6176035546422,0.19,3.78,12.66,31.41
0.0780191230046581,19.6174749282087,72.5003775626126,34.624076801725,0.02,3.78,12.66,35.65
3.25974884808598,7.87943857662242,42.0714191596445,19.478458481466,0.65,1.55,7.76,23.76
127.308855929887,5.58644446360112,220.025362159414,176.091134760381,20.29,1.1,30.56,73.8
4.01863951107471,0.563134636305722,16.7035130809081,13.6450221996111,0.8,0.11,3.23,17.92
0.0933185118978289,63.6984313312749,114.428202370852,86.3208102682704,0.02,11.3,18.62,58
20.3948228530251,9.54953570608324,220.707369999875,36.1476848149501,3.92,1.87,30.62,36.64
24.6344971737971,105.7943134615,257.559883023032,163.460643778781,4.7,17.46,34,72.34
205.840821686646,0.0553514746525639,257.559883023032,210.429276013406,29.16,0.01,34,77.1
205.840821686646,4.65296265240839,257.559883023032,215.473658089387,29.16,0.92,34,77.52
205.840821686646,1.59931720200615,257.559883023032,214.305770413223,29.16,0.32,34,77.42
205.840821686646,2.28061403914712,257.559883023032,220.380440172828,29.16,0.45,34,77.91
205.840821686646,0.00114554783194811,257.559883023032,215.369934501268,29.16,0,34,77.51
205.840821686646,0.834411471470052,257.559883023032,215.582890132211,29.16,0.17,34,77.52
2.10310870385221,9.39144762530439,76.7401340885663,12.7977625283922,0.42,1.84,13.31,17
